ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",62843,135,"United States","01000US","united-states"
2019,"2019",57144,216,"Michigan","04000US26","michigan"
2019,"2019",48588,827,"Genesee County, MI","05000US26049","genesee-county-mi"
2019,"2019",48588,827,"Flint, MI","31000US22420","flint-mi-31000US22420"
2019,"2019",42796,1771,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2019,"2019",28830,1106,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2019,"2019",62197,1242,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
2018,"2018",60293,140,"United States","01000US","united-states"
2018,"2018",54938,166,"Michigan","04000US26","michigan"
2018,"2018",47006,731,"Genesee County, MI","05000US26049","genesee-county-mi"
2018,"2018",47006,731,"Flint, MI","31000US22420","flint-mi-31000US22420"
2018,"2018",41933,1147,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2018,"2018",27695,1163,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2018,"2018",59367,1061,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",52668,180,"Michigan","04000US26","michigan"
2017,"2017",45231,666,"Genesee County, MI","05000US26049","genesee-county-mi"
2017,"2017",45231,666,"Flint, MI","31000US22420","flint-mi-31000US22420"
2017,"2017",41115,858,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2017,"2017",26329,828,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2017,"2017",56311,965.9999999999999,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",50803,162,"Michigan","04000US26","michigan"
2016,"2016",43246,649,"Genesee County, MI","05000US26049","genesee-county-mi"
2016,"2016",43246,649,"Flint, MI","31000US22420","flint-mi-31000US22420"
2016,"2016",40093,1142,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2016,"2016",25659,912.9999999999999,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2016,"2016",53423,908.9999999999999,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",49576,186,"Michigan","04000US26","michigan"
2015,"2015",42327,575,"Genesee County, MI","05000US26049","genesee-county-mi"
2015,"2015",42327,575,"Flint, MI","31000US22420","flint-mi-31000US22420"
2015,"2015",39891,1085,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2015,"2015",24871,836,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2015,"2015",52142,917.9999999999999,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",49087,192,"Michigan","04000US26","michigan"
2014,"2014",41879,534,"Genesee County, MI","05000US26049","genesee-county-mi"
2014,"2014",41879,534,"Flint, MI","31000US22420","flint-mi-31000US22420"
2014,"2014",39575,1113,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2014,"2014",24685,936.9999999999999,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2014,"2014",51303,1005,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",48411,163,"Michigan","04000US26","michigan"
2013,"2013",42089,671,"Genesee County, MI","05000US26049","genesee-county-mi"
2013,"2013",42089,671,"Flint, MI","31000US22420","flint-mi-31000US22420"
2013,"2013",39773,959,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi"
2013,"2013",24838,876,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi"
2013,"2013",51078,1203,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi"
