ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $10,000",2019,"2019",1028776,9530,"United States","01000US","united-states",0.013313286844704715
1,"$10,000 to $14,999",2019,"2019",555266,5017,"United States","01000US","united-states",0.007185641512935575
2,"$15,000 to $19,999",2019,"2019",493678,5343,"United States","01000US","united-states",0.006388637393290798
3,"$20,000 to $24,999",2019,"2019",541349,4923,"United States","01000US","united-states",0.007005543014314149
4,"$25,000 to $29,999",2019,"2019",496197,4677,"United States","01000US","united-states",0.006421235519181966
5,"$30,000 to $34,999",2019,"2019",605943,6051,"United States","01000US","united-states",0.007841447477916387
6,"$35,000 to $39,999",2019,"2019",448984,4741,"United States","01000US","united-states",0.005810256830138827
7,"$40,000 to $49,999",2019,"2019",1165696,8891,"United States","01000US","united-states",0.015085154806998713
8,"$50,000 to $59,999",2019,"2019",1451180,9994,"United States","01000US","united-states",0.018779574565598915
9,"$60,000 to $69,999",2019,"2019",1685990,12236,"United States","01000US","united-states",0.021818227181916863
10,"$70,000 to $79,999",2019,"2019",1937078,12774,"United States","01000US","united-states",0.025067531760623228
11,"$80,000 to $89,999",2019,"2019",2288047,14353.999999999998,"United States","01000US","united-states",0.029609386324298086
12,"$90,000 to $99,999",2019,"2019",1946546,16357.999999999998,"United States","01000US","united-states",0.025190056197279664
13,"$100,000 to $124,999",2019,"2019",5290207,30066,"United States","01000US","united-states",0.06846003722760328
14,"$125,000 to $149,999",2019,"2019",4952877,28839,"United States","01000US","united-states",0.06409468359248326
15,"$150,000 to $174,999",2019,"2019",6272151,35728,"United States","01000US","united-states",0.08116727586598202
16,"$175,000 to $199,999",2019,"2019",4582862,28110.999999999996,"United States","01000US","united-states",0.059306356656548306
17,"$200,000 to $249,999",2019,"2019",8274180,42220,"United States","01000US","united-states",0.10707533199133618
18,"$250,000 to $299,999",2019,"2019",6877112,39470,"United States","01000US","united-states",0.08899601538056966
19,"$300,000 to $399,999",2019,"2019",9450290,49313,"United States","01000US","united-states",0.12229525332593735
20,"$400,000 to $499,999",2019,"2019",5498064,30508,"United States","01000US","united-states",0.0711498937791556
21,"$500,000 to $749,999",2019,"2019",6314185,31143,"United States","01000US","united-states",0.08171123363641049
22,"$750,000 to $999,999",2019,"2019",2506929,14816,"United States","01000US","united-states",0.03244191629305966
23,"$1,000,000 to $1,499,999",2019,"2019",1400103,8041,"United States","01000US","united-states",0.018118592240810055
24,"$1,500,000 to $1,999,999",2019,"2019",508010,4499,"United States","01000US","united-states",0.006574106365213071
25,"$2,000,000 or More",2019,"2019",702681,5363,"United States","01000US","united-states",0.009093324215693168
0,"Less Than $10,000",2019,"2019",2860,310,"Flint, MI","16000US2629000","flint-mi",0.12453733942956673
1,"$10,000 to $14,999",2019,"2019",2370,339,"Flint, MI","16000US2629000","flint-mi",0.10320052253429131
2,"$15,000 to $19,999",2019,"2019",2358,336,"Flint, MI","16000US2629000","flint-mi",0.10267798824297844
3,"$20,000 to $24,999",2019,"2019",2207,314,"Flint, MI","16000US2629000","flint-mi",0.09610276507729153
4,"$25,000 to $29,999",2019,"2019",1894,299,"Flint, MI","16000US2629000","flint-mi",0.0824733289788809
5,"$30,000 to $34,999",2019,"2019",1523,286,"Flint, MI","16000US2629000","flint-mi",0.06631831047245809
6,"$35,000 to $39,999",2019,"2019",783,171,"Flint, MI","16000US2629000","flint-mi",0.0340953625081646
7,"$40,000 to $49,999",2019,"2019",1966,344,"Flint, MI","16000US2629000","flint-mi",0.08560853472675811
