ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2019,"2019",77274381,377633,"United States","01000US","united-states",0.6399214141224628
0,"Owner Occupied",2019,"2019",2802699,11218,"Michigan","04000US26","michigan",0.7122413718179811
0,"Owner Occupied",2019,"2019",117587,1218,"Genesee County, MI","05000US26049","genesee-county-mi",0.7003311455491894
0,"Owner Occupied",2019,"2019",1900,212,"Beecher, MI","16000US2606820","beecher-mi",0.5496094879953717
0,"Owner Occupied",2019,"2019",8458,408,"Burton, MI","16000US2612060","burton-mi",0.74011200560028
0,"Owner Occupied",2019,"2019",117587,1218,"Flint, MI","31000US22420","flint-mi-31000US22420",0.7003311455491894
0,"Owner Occupied",2019,"2019",28948,669,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi",0.6841234579571773
0,"Owner Occupied",2019,"2019",22973,911,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi",0.5698658001141071
0,"Owner Occupied",2019,"2019",58105,792,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi",0.7944787792605557
0,"Owner Occupied",2018,"2018",76444810,367132,"United States","01000US","united-states",0.6384759732320674
0,"Owner Occupied",2018,"2018",2777114,12410,"Michigan","04000US26","michigan",0.7103485373738748
0,"Owner Occupied",2018,"2018",116693,1313,"Genesee County, MI","05000US26049","genesee-county-mi",0.6950604268296314
0,"Owner Occupied",2018,"2018",2015,203,"Beecher, MI","16000US2606820","beecher-mi",0.5650588895120583
0,"Owner Occupied",2018,"2018",8556,371,"Burton, MI","16000US2612060","burton-mi",0.7434181944565122
0,"Owner Occupied",2018,"2018",116693,1313,"Flint, MI","31000US22420","flint-mi-31000US22420",0.6950604268296314
0,"Owner Occupied",2018,"2018",29290,662,"Genesee County (Central, Outside Flint City) PUMA, MI","79500US2601702","genesee-county-central-outside-flint-city-puma-mi",0.6900369873018116
0,"Owner Occupied",2018,"2018",22028,702,"Flint City Area PUMA, MI","79500US2601703","flint-city-area-puma-mi",0.551375434907762
0,"Owner Occupied",2018,"2018",58075,779,"Genesee (West) & Shiawassee Counties PUMA, MI","79500US2601704","genesee-west-shiawassee-counties-puma-mi",0.7908246636527044
